,0,1,2,3,4,5,6
0,4421.760865323419,4454.827260069936,4425.337912741636,4584.9962251632105,4518.0815373544565,4530.318040270275,4591.877716256754
1,4351.578186331957,4350.115161340915,4346.022709681418,4352.022154121715,4350.132770263857,4351.3358209331045,4351.218242742859
2,4510.167307460532,4511.688193125179,4508.0672244138905,4514.49112105475,4511.06402320762,4511.687668338636,4512.949388801807
3,4672.723191700601,4670.784459954538,4668.973495113387,4674.986223535877,4671.88240954193,4674.848947148846,4674.942903856924
4,4627.780126565661,4625.600194876462,4625.4149262904775,4627.716967733143,4627.967905185322,4626.595919473354,4629.278016748013
5,4832.749759058017,4831.180101140848,4831.259083721921,4834.771012552293,4831.384286396966,4834.842797903213,4836.6316945770195
6,4733.953314976104,4733.291927529988,4732.303963758831,4738.060243306618,4736.22110900178,4735.068166815883,4736.5567506777525
7,4781.526032124128,4783.556221799051,4785.876533550985,4785.286737418968,4786.191508191233,4784.207847307325,4786.906196760042
8,4732.513668972937,4728.507007141693,4728.911025357839,4732.790972328045,4727.807619814183,4729.035550237515,4721.434435555149
9,4339.229968717302,4339.926369156425,4335.76949715528,4342.651205526464,4341.896121839719,4341.502013405882,4343.049142545307
10,4348.141978557851,4342.549162415012,4341.352579488863,4349.95668045987,4348.266779408801,4347.597749977372,4350.708084163864
11,4353.580613437753,4351.343125496239,4346.4760303697685,4352.355920671125,4350.564468305097,4351.6737725379835,4353.572828718157
12,4349.621760059036,4350.832736421421,4343.102678626311,4353.093901349729,4344.177100730401,4347.486733133878,4351.7573787892625
13,4360.17710662738,4357.202903188453,4352.138923200369,4355.193748160933,4360.922613488541,4357.967079005055,4359.790796397311
14,4347.057838553871,4349.1180417096675,4346.426348677022,4351.07865718183,4352.454244540731,4353.697827062823,4356.818288493036
15,4352.335684224752,4347.401210281988,4347.865683039413,4358.872822436266,4353.896159445646,4353.558515615894,4358.465211194704
16,4351.262415804813,4352.852944474775,4346.232995706482,4356.610734536576,4356.719155820056,4351.324364549989,4352.743738481867
17,4499.277397908716,4502.237454434025,4497.505387267528,4503.110404074934,4507.185794959537,4502.577989341525,4507.183522070132
18,4507.029918268479,4508.512274251464,4503.4916881243,4508.422608036296,4508.489934852287,4506.040219620114,4509.363452906546
19,4511.689981698617,4506.821061554457,4508.7588158513945,4516.455252696966,4515.537431824507,4513.014637882847,4515.715309982728
20,4502.909407946185,4507.290171193743,4503.838837324852,4518.769865480925,4507.27806600373,4506.9772638937475,4513.781210502743
21,4517.909126524529,4516.63844141453,4512.75998168408,4518.039844826816,4514.610642955025,4514.853372139349,4519.934017243938
22,4506.240560861055,4510.03691236844,4508.2819040676195,4520.067976412559,4514.466256624569,4516.558129194136,4517.803056515213
23,4513.261515420618,4514.458730447554,4510.367197725531,4515.114940246069,4517.586265932132,4516.861670241536,4519.431838294754
24,4511.286584270109,4510.759128568138,4507.817480987281,4518.375555311598,4515.600902203894,4512.421268563587,4517.648125301137
25,4661.332561428565,4663.740942458831,4658.070122802241,4666.058124558827,4665.108646748275,4664.5460374700715,4668.542067668892
26,4666.10177814281,4667.946903752961,4664.927164024604,4670.845187977221,4669.9763324832975,4668.503752705051,4671.412090760469
27,4672.890156838788,4669.984506826144,4667.0642131190325,4679.014859968668,4672.312498967303,4672.5058384764125,4676.96098831261
28,4670.446402450125,4666.5643955996,4666.301119335433,4681.619089477979,4670.718808226447,4672.948993028573,4675.989831898065
29,4675.980841567246,4677.779761182366,4674.81763168637,4682.324656131765,4681.209923989189,4677.3057502412685,4684.576929975459
30,4671.696450555523,4671.700407019502,4669.490912081717,4681.608831007267,4675.208290897106,4672.33105512781,4680.267031814895
31,4673.474850679459,4672.811101605164,4671.143462614356,4676.084261018445,4680.517693357273,4679.5114406306,4679.570031739312
32,4672.844513791504,4670.4745299347915,4668.750276640357,4678.989693965936,4672.092561616333,4672.8684475324535,4678.203263067604
33,4610.331388908761,4616.135022573502,4609.484617803046,4624.717319995743,4615.979036597296,4611.165311981951,4619.580235148059
34,4628.549456179153,4616.424843282256,4613.291349050881,4618.218317672784,4620.041154735055,4620.322226672644,4625.435256850434
35,4622.468085842151,4619.168612604381,4618.028104836279,4629.010372522044,4623.863980404349,4624.521394701611,4627.665103282343
36,4616.369709615907,4619.717766656476,4617.303498659368,4626.616443195094,4624.374638189846,4619.811361503137,4625.175730580059
37,4625.4874692745325,4632.099539841578,4625.626142723196,4632.26107246096,4628.884832157991,4629.830628221358,4636.1522735253275
38,4624.97569510411,4621.5996852589715,4617.688047195226,4630.942844890507,4625.074128090563,4623.479687693643,4626.558801717862
39,4632.764634863778,4626.957625803136,4622.029445032708,4633.419799193959,4623.232983357672,4626.564498944882,4631.912913467931
40,4613.206986168761,4612.321908388233,4611.0993539931405,4626.5054839437435,4594.351384468877,4591.484905932843,4610.8398099569395
